ci_question_id,module,version,grade,section,question_type,bloom_level,question_stem,option_a,option_b,option_c,option_d,option_e,correct_option,weightage,time_secs,career_cluster_map,difficulty,is_behavioral,adaptive_trigger,explanation
APG10_CR_02,APTIPATH,V3,GRADE_10,CAREER_REALITY,MCQ,UNDERSTAND,"After completing 12th with PCM (Physics-Chemistry-Math) a student can appear for:","NEET for medical college admission only","JEE Main for NIT/IIIT and JEE Advanced for IIT admission","CLAT for law admission only","CA Foundation examination only","N/A","B",3,45,"CORRECT=PCM_PATHWAY_AWARE","MEDIUM",FALSE,"BOOST_TECH+ENGINEERING","JEE Main gives access to 31 NITs 26 IIITs and 100+ GFTIs. JEE Advanced (top JEE Main qualifiers) gives access to 23 IITs."
APG10_CR_03,APTIPATH,V3,GRADE_10,CAREER_REALITY,MCQ,UNDERSTAND,"After completing 12th Commerce a student can pursue:","MBBS through NEET examination","B.Tech through JEE Main examination","CA, BBA, B.Com, Economics Honours or later MBA","None of these career paths","N/A","C",3,45,"CORRECT=COMMERCE_PATHWAY_AWARE","MEDIUM",FALSE,"BOOST_BUSINESS+FINANCE","Commerce opens: CA (India's premier accounting credential) BBA (management) B.Com (accounting and finance) Economics (policy and analytics) and MBA (via CAT/XAT later)."
APG10_CR_04,APTIPATH,V3,GRADE_10,CAREER_REALITY,SITUATIONAL,EVALUATE,"Arjun wants to be an entrepreneur but does not know whether to choose Commerce or Science stream. The BEST advice for him is:","Choose Commerce — all entrepreneurs need business knowledge","Choose PCM — tech startups are the only future for entrepreneurs","Choose the stream matching the DOMAIN of his startup idea: tech needs PCM and fintech can use either","It does not matter — entrepreneurship does not require formal education at all","N/A","C",5,90,"A=COMMERCE_BIAS;B=PCM_BIAS;C=DOMAIN_ALIGNED;D=ANTI_EDUCATION","HARD",TRUE,"STREAM_DETECT+ENTREPRENEUR","Domain-stream alignment is the correct approach. Zuckerberg needed CS. Paytm's Vijay Shekhar Sharma studied engineering. Zerodha's Nithin Kamath was commerce background."
APG10_CR_05,APTIPATH,V3,GRADE_10,CAREER_REALITY,MCQ,UNDERSTAND,"The minimum duration of an MBBS degree including mandatory internship in India is:","3 years","4.5 years","5.5 years","7 years","N/A","C",3,45,"CORRECT=MEDICINE_PATHWAY_AWARE","MEDIUM",FALSE,"BOOST_HEALTH","MBBS = 4.5 years of study + 1 year compulsory rotating internship = 5.5 years minimum. Most doctors add 3 years of PG making it 8.5 years total."
APG10_CR_06,APTIPATH,V3,GRADE_10,CAREER_REALITY,SITUATIONAL,EVALUATE,"Kavya cleared KVPY and is passionate about pure research. She also has a JEE rank good enough for NIT. What should she prioritize?","NIT engineering — better campus placement packages","IISc or IISER through KVPY — this is the direct path to a research career in India","Take a drop year and attempt IIT instead for better brand value","Decide based on which campus city she prefers to live in","N/A","B",5,90,"A=PLACEMENT_DRIVEN;B=RESEARCH_ALIGNED;C=BRAND_DRIVEN;D=LIFESTYLE_DRIVEN","HARD",TRUE,"BOOST_RESEARCH","IISc and IISERs are India's premier research institutions. For a student whose goal is research not placement they offer a more direct path than NITs."
APG10_SF_01,APTIPATH,V3,GRADE_10,STEM_FOUNDATION,MCQ,APPLY,"A car accelerates uniformly from rest to 60 km/h in 10 seconds. Its acceleration in m/s² is approximately:","6","1.67","60","0.6","N/A","B",4,75,"CORRECT=PHYSICS_APTITUDE+PCM","MEDIUM",FALSE,"BOOST_STEM+PCM","60 km/h = 16.67 m/s. Acceleration = change in velocity / time = 16.67/10 = 1.67 m/s². Kinematics is the foundation of mechanical and aerospace engineering."
APG10_SF_02,APTIPATH,V3,GRADE_10,STEM_FOUNDATION,MCQ,UNDERSTAND,"Elements in the same GROUP (column) of the periodic table share:","The same number of total electrons","The same number of protons","Similar chemical properties because they have equal valence electrons","Identical atomic masses","N/A","C",3,60,"CORRECT=CHEMISTRY_APTITUDE+PCM_OR_PCB","MEDIUM",FALSE,"BOOST_STEM","Group elements share valence electron count which determines chemical behavior. This principle governs all of chemical bonding and reactivity."
APG10_SF_03,APTIPATH,V3,GRADE_10,STEM_FOUNDATION,FILL_BLANK,APPLY,"The area of a circle with radius 7cm is ___ cm² (use π = 22/7)","154","44","308","77","N/A","A",3,60,"CORRECT=MATH_APTITUDE","MEDIUM",FALSE,"BOOST_STEM","Area = πr² = (22/7) × 7² = (22/7) × 49 = 22 × 7 = 154 cm²."
APG10_SF_04,APTIPATH,V3,GRADE_10,STEM_FOUNDATION,MCQ,ANALYZE,"A ball thrown vertically upward at 20 m/s reaches its highest point (g = 10 m/s²). The maximum height is:","10 m","20 m","40 m","30 m","N/A","B",5,90,"CORRECT=PHYSICS_APTITUDE+ENGINEERING+PCM","HARD",FALSE,"BOOST_STEM+PCM","Using v² = u² - 2gh: 0 = 400 - 20h so h = 20m. Projectile motion is core to physics-based engineering."
APG10_SF_05,APTIPATH,V3,GRADE_10,STEM_FOUNDATION,MCQ,UNDERSTAND,"The balanced chemical equation for iron reacting with oxygen is 4Fe + 3O₂ → 2Fe₂O₃. This means:","2 iron atoms react with 1 oxygen molecule","4 iron atoms react with 3 oxygen molecules producing 2 units of iron oxide","3 iron atoms react with 2 oxygen molecules","1 iron atom reacts with 1 oxygen molecule","N/A","B",4,75,"CORRECT=CHEMISTRY_APTITUDE+SCIENCE","MEDIUM",FALSE,"BOOST_STEM","Stoichiometry: 4 Fe atoms + 3 O₂ molecules → 2 Fe₂O₃ formula units. Balancing equations is fundamental to chemistry and chemical engineering."
APG10_SF_06,APTIPATH,V3,GRADE_10,STEM_FOUNDATION,MCQ,ANALYZE,"The mean of 5 numbers is 20. When one number is removed the mean becomes 18. The removed number is:","22","25","28","30","N/A","C",4,75,"CORRECT=STATISTICS_APTITUDE+DATA_SCIENCE","MEDIUM",FALSE,"BOOST_STEM+ANALYTICAL","Original total = 5×20 = 100. New total = 4×18 = 72. Removed number = 100-72 = 28. Statistics is essential for data science research and business analytics."
APG10_BF_01,APTIPATH,V3,GRADE_10,BIOLOGY_FOUNDATION,MCQ,UNDERSTAND,"During cell division the process called mitosis produces:","Four genetically different daughter cells","Two genetically identical daughter cells","One cell with doubled DNA content","Three cells of varying sizes","N/A","B",3,60,"CORRECT=BIOLOGY_APTITUDE+PCB+HEALTH","MEDIUM",FALSE,"BOOST_BIOLOGY+PCB","Mitosis creates 2 identical copies for growth and repair. Meiosis (different process) creates 4 genetically diverse cells for reproduction."
APG10_BF_02,APTIPATH,V3,GRADE_10,BIOLOGY_FOUNDATION,MCQ,UNDERSTAND,"A gene which determines a hereditary trait is a specific sequence of:","Proteins","DNA (deoxyribonucleic acid)","Carbohydrates","Lipids","N/A","B",3,60,"CORRECT=GENETICS_APTITUDE+PCB+BIOTECH","MEDIUM",FALSE,"BOOST_BIOLOGY+PCB","Genes are DNA sequences that encode instructions for building proteins. Human genome contains approximately 20000-25000 protein-coding genes."
APG10_BF_03,APTIPATH,V3,GRADE_10,BIOLOGY_FOUNDATION,MCQ,APPLY,"A patient's blood report shows very low haemoglobin count. This most likely indicates:","Diabetes mellitus","Anaemia","Hypertension","Bronchial asthma","N/A","B",3,60,"CORRECT=MEDICAL_APTITUDE+HEALTH","MEDIUM",FALSE,"BOOST_HEALTH","Haemoglobin carries oxygen in red blood cells. Low levels cause anaemia — fatigue weakness and shortness of breath. Common diagnostic in clinical medicine."
APG10_BF_04,APTIPATH,V3,GRADE_10,BIOLOGY_FOUNDATION,TRUE_FALSE,UNDERSTAND,"True or False: Antibiotics are effective against viral infections like the common cold or influenza","True","False","N/A","N/A","N/A","B",3,30,"CORRECT=HEALTH_LITERACY+SCIENCE","MEDIUM",FALSE,"BOOST_HEALTH","FALSE — Antibiotics fight bacteria not viruses. Misuse of antibiotics against viruses is a major cause of antibiotic resistance which is a global health crisis."
APG10_GA_01,APTIPATH,V3,GRADE_10,GENERAL_AWARENESS,MCQ,UNDERSTAND,"India's Digital India programme launched in 2015 primarily aims to:","Replace all physical textbooks with digital tablets in schools","Transform India into a digitally empowered society and knowledge economy","Completely ban physical cash transactions across the country","Create official social media accounts for every citizen","N/A","B",2,30,"CORRECT=TECH_POLICY_AWARE","EASY",FALSE,"BOOST_TECH","Digital India focuses on digital infrastructure (broadband connectivity) digital literacy and digital delivery of government services."
APG10_GA_02,APTIPATH,V3,GRADE_10,GENERAL_AWARENESS,MCQ,REMEMBER,"Which Indian physicist won the Nobel Prize in 1930 for discovering the scattering of light known as the Raman Effect?","Homi Bhabha","CV Raman","Satyendra Nath Bose","APJ Abdul Kalam","N/A","B",2,30,"CORRECT=SCIENCE_HISTORY","EASY",FALSE,"BOOST_SCIENCE","Sir CV Raman won the Nobel Prize in Physics in 1930. The Raman Effect explains why the sky is blue and is used in spectroscopy worldwide."
APG10_GA_03,APTIPATH,V3,GRADE_10,GENERAL_AWARENESS,MCQ,UNDERSTAND,"The United Nations Sustainable Development Goals (SDGs) have a target year of:","2025","2030","2040","2050","N/A","B",2,30,"CORRECT=GLOBAL_AWARENESS+GREEN","EASY",FALSE,"BOOST_GREEN+SOCIAL","The 17 SDGs were adopted in 2015 with 2030 as the target year. They cover poverty hunger health education climate action and more."
APG10_GA_04,APTIPATH,V3,GRADE_10,GENERAL_AWARENESS,MCQ,UNDERSTAND,"India's National Education Policy (NEP) 2020 introduced major changes including:","Permanent abolition of all board examinations","Shift to competency-based evaluation and flexible multidisciplinary education","Making all examinations entirely computer-based","Doubling the number of compulsory subjects for every student","N/A","B",3,45,"CORRECT=EDUCATION_AWARE","MEDIUM",FALSE,"BOOST_AWARENESS","NEP 2020 introduced holistic multidisciplinary education competency-based assessment coding from Grade 6 and flexibility in subject combinations."
APG10_RIQ_01,APTIPATH,V3,GRADE_10,REASONING_IQ,MCQ,ANALYZE,"A cube is painted red on all six faces then cut into 27 equal smaller cubes (3×3×3). How many small cubes have paint on exactly TWO faces?","6","8","12","16","N/A","C",5,120,"CORRECT=SPATIAL_3D+ENGINEERING","HARD",FALSE,"BOOST_REASONING","Edge cubes (not corners) have 2 painted faces. A 3×3×3 cube has 12 edges with 1 edge-cube each = 12. Spatial visualization is critical for engineering and architecture."
APG10_RIQ_02,APTIPATH,V3,GRADE_10,REASONING_IQ,MCQ,ANALYZE,"Statement: No fish are mammals. All dolphins are mammals. Conclusion: No dolphin is a fish. This conclusion is:","Definitely valid and true","Possibly true but not logically certain","Definitely invalid and false","Cannot be determined from the given information","N/A","A",5,90,"CORRECT=FORMAL_LOGIC+LAW+RESEARCH","HARD",FALSE,"BOOST_REASONING","This is a valid syllogism: If no fish are mammals and all dolphins are mammals then dolphins and fish have zero overlap. Definitely valid."
